,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Joker,2019,8.5,59.0,807676,335.45,122
1,Parasite,2019,8.6,96.0,426157,53.37,132
2,Knives Out,2019,7.9,82.0,318763,165.36,130
3,Once Upon a Time... in Hollywood,2019,7.7,83.0,477639,142.5,161
4,The Gentlemen,2019,7.9,51.0,146640,,113
5,1917,2019,8.3,78.0,326393,159.23,119
6,Avengers: Endgame,2019,8.4,78.0,727622,858.37,181
7,The Help,2011,8.1,62.0,413724,169.71,146
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1603102,315.54,178
9,Jojo Rabbit,2019,7.9,58.0,225446,0.35,108
10,The Shawshank Redemption,1994,9.3,80.0,2250203,28.34,142
11,Back to the Future,1985,8.5,87.0,1008834,210.61,116
12,Inception,2010,8.8,74.0,1973002,292.58,148
13,The Godfather,1972,9.2,100.0,1552689,134.97,175
14,Interstellar,2014,8.6,74.0,1423653,188.02,169
15,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,615761,317.58,152
16,Little Women,2019,7.9,91.0,109140,108.1,135
17,The Wolf of Wall Street,2013,8.2,75.0,1121566,116.9,180
18,The Dark Knight,2008,9.0,84.0,2217952,534.86,152
19,Thor: Ragnarok,2017,7.9,74.0,554451,315.06,130
20,The Silence of the Lambs,1991,8.6,85.0,1218384,130.74,118
21,Pulp Fiction,1994,8.9,94.0,1761694,107.93,154
22,Django Unchained,2012,8.4,81.0,1301877,162.81,165
23,The Lighthouse,2019,7.6,83.0,107882,0.43,109
24,Titanic,1997,7.8,75.0,1014670,659.33,194
25,The Matrix,1999,8.7,73.0,1614084,171.48,136
26,Mad Max: Fury Road,2015,8.1,90.0,844570,154.06,120
27,Inglourious Basterds,2009,8.3,69.0,1214660,120.54,153
28,Do the Right Thing,1989,7.9,92.0,82687,27.55,120
29,Ford v Ferrari,2019,8.1,81.0,222586,117.62,152
30,The Irishman,2019,7.9,94.0,293911,,209
31,Se7en,1995,8.6,65.0,1385094,100.13,127
32,V for Vendetta,2005,8.2,62.0,999567,70.51,132
33,Indiana Jones and the Last Crusade,1989,8.2,65.0,670191,197.17,127
34,Avengers: Infinity War,2018,8.5,68.0,779932,678.82,149
35,Blade Runner 2049,2017,8.0,81.0,432536,92.05,164
36,No Country for Old Men,2007,8.1,91.0,819644,74.28,122
37,Shutter Island,2010,8.1,63.0,1082194,128.01,138
38,Jurassic Park,1993,8.1,68.0,833306,402.45,127
39,The Departed,2006,8.5,85.0,1146764,132.38,151
40,The Dark Knight Rises,2012,8.4,78.0,1466185,448.14,164
41,Forrest Gump,1994,8.8,82.0,1734833,330.25,142
42,Gone Girl,2014,8.1,79.0,822053,167.77,149
43,The Social Network,2010,7.7,95.0,601956,96.96,120
44,Fight Club,1999,8.8,66.0,1788994,37.03,139
45,The Goonies,1985,7.8,62.0,233560,61.5,114
46,Alien,1979,8.4,89.0,759590,78.9,117
47,The Prestige,2006,8.5,66.0,1139968,53.09,130
48,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1589149,377.85,201
49,Guardians of the Galaxy,2014,8.0,76.0,1014890,333.18,121
50,Call Me by Your Name,2017,7.9,93.0,193224,18.1,132
51,Mission: Impossible - Fallout,2018,7.7,86.0,274279,220.16,147
52,Green Book,2018,8.2,69.0,327366,85.08,130
53,Avatar,2009,7.8,83.0,1094130,760.51,162
54,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,735136,381.01,130
55,The Green Mile,1999,8.6,61.0,1097202,136.8,189
56,Saving Private Ryan,1998,8.6,91.0,1189979,216.54,169
57,Jaws,1975,8.0,87.0,530175,260.0,124
58,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,995553,305.41,143
59,Goodfellas,1990,8.7,90.0,978952,46.84,146
60,Schindler's List,1993,8.9,94.0,1169272,96.9,195
61,Gladiator,2000,8.5,67.0,1293486,187.71,155
62,Dunkirk,2017,7.9,94.0,520356,188.37,106
63,Léon: The Professional,1994,8.5,64.0,995949,19.5,110
64,The Princess Bride,1987,8.1,77.0,380643,30.86,98
65,The Shining,1980,8.4,66.0,856577,44.02,146
66,Get Out,2017,7.7,85.0,462659,176.04,104
67,Captain America: Civil War,2016,7.8,75.0,636280,408.08,147
68,Bohemian Rhapsody,2018,8.0,49.0,425960,216.43,134
69,Apocalypto,2006,7.8,68.0,283203,50.87,139
70,Raiders of the Lost Ark,1981,8.4,85.0,856905,248.16,115
71,Wind River,2017,7.7,73.0,191663,33.8,107
72,Portrait of a Lady on Fire,2019,8.1,95.0,40771,,122
73,Prisoners,2013,8.1,70.0,572354,61.0,153
74,Some Like It Hot,1959,8.2,98.0,235398,25.0,121
75,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,321796,190.24,117
76,The Breakfast Club,1985,7.9,66.0,342251,45.88,97
77,"The Good, the Bad and the Ugly",1966,8.8,90.0,664565,6.1,178
78,Taxi Driver,1976,8.3,94.0,693724,28.26,114
79,Harry Potter and the Goblet of Fire,2005,7.7,81.0,524057,290.01,157
80,Whiplash,2014,8.5,88.0,679726,13.09,106
81,Apocalypse Now,1979,8.4,94.0,583804,83.47,147
82,Spirited Away,2001,8.6,96.0,614731,10.06,125
83,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1435748,342.55,179
84,Batman Begins,2005,8.2,70.0,1265287,206.85,140
85,Up,2009,8.2,88.0,902122,293.0,96
86,Requiem for a Dream,2000,8.3,68.0,741123,3.64,102
87,A Clockwork Orange,1971,8.3,80.0,732734,6.21,136
88,The Usual Suspects,1995,8.5,77.0,958835,23.34,106
89,Deadpool 2,2018,7.7,66.0,453087,324.59,119
90,American History X,1998,8.5,62.0,1004739,6.72,119
91,The Godfather: Part II,1974,9.0,90.0,1085199,57.3,202
92,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1193920,322.74,121
93,The Hobbit: An Unexpected Journey,2012,7.8,58.0,742031,303.0,169
94,Tombstone,1993,7.8,50.0,121547,56.51,130
95,Hacksaw Ridge,2016,8.1,71.0,410517,67.21,139
96,Unforgiven,1992,8.2,85.0,362668,101.16,130
97,Back to the Future Part II,1989,7.8,57.0,460117,118.5,108
98,Zodiac,2007,7.7,78.0,433859,33.08,157
99,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,526361,249.36,142
100,Heat,1995,8.2,76.0,555862,67.44,170
101,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,541840,389.81,136
102,What We Do in the Shadows,2014,7.7,76.0,146668,3.33,86
103,Hidden Figures,2016,7.8,74.0,189824,169.61,127
104,Moana,2016,7.6,81.0,254433,248.76,107
105,Psycho,1960,8.5,97.0,578174,32.0,109
106,The Curious Case of Benjamin Button,2008,7.8,70.0,570296,127.51,166
107,The Revenant,2015,8.0,76.0,676348,183.64,156
108,Memento,2000,8.4,80.0,1087012,25.54,113
109,Inside Man,2006,7.6,76.0,327620,88.51,129
110,The Martian,2015,8.0,80.0,732300,228.43,144
111,Casino,1995,8.2,73.0,446035,42.44,178
112,12 Years a Slave,2013,8.1,96.0,617160,56.67,134
113,Toy Story 4,2019,7.8,84.0,181915,434.04,100
114,Blade Runner,1982,8.1,84.0,670692,32.87,117
115,Watchmen,2009,7.6,56.0,486122,107.51,162
116,The Avengers,2012,8.0,69.0,1233729,623.28,143
117,Marriage Story,2019,8.0,94.0,216305,,137
118,The Notebook,2004,7.8,53.0,502327,81.0,123
119,Stand by Me,1986,8.1,75.0,351442,52.29,89
120,The Hateful Eight,2015,7.8,68.0,491325,54.12,168
121,Her,2013,8.0,90.0,515656,25.57,126
122,The Peanut Butter Falcon,2019,7.6,70.0,41426,13.12,97
123,Room,2015,8.1,86.0,350601,14.68,118
124,Into the Wild,2007,8.1,73.0,553515,18.35,148
125,American Beauty,1999,8.3,84.0,1040425,130.1,122
126,Baby Driver,2017,7.6,86.0,413339,107.83,113
127,Apollo 13,1995,7.6,77.0,259581,173.84,140
128,Catch Me If You Can,2002,8.1,75.0,787080,164.62,141
129,The Grand Budapest Hotel,2014,8.1,88.0,679346,59.1,99
130,Boogie Nights,1997,7.9,85.0,231045,26.4,155
131,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88.0,401680,54.51,115
132,Scarface,1983,8.3,65.0,712264,45.6,170
133,Full Metal Jacket,1987,8.3,76.0,650525,46.36,116
134,Dazed and Confused,1993,7.6,78.0,158871,7.99,102
135,Good Will Hunting,1997,8.3,70.0,826938,138.43,126
136,2001: A Space Odyssey,1968,8.3,84.0,580472,56.95,149
137,Billy Elliot,2000,7.7,74.0,122522,22.0,110
138,Ferris Bueller's Day Off,1986,7.8,61.0,308833,70.14,103
139,Ex Machina,2014,7.7,78.0,456432,25.44,108
140,Children of Men,2006,7.9,84.0,450768,35.55,109
141,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,879442,34.4,108
142,Deadpool,2016,8.0,65.0,873974,363.07,108
143,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,171722,4.0,100
144,Kill Bill: Vol. 1,2003,8.1,69.0,967294,70.1,111
